,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_7_HLCA_142,0.8201082878162091,0.8963403432562013,0.8063649258542875,0.8201082878162091,0.8201082878162091,0.9063839559961808,0.9015417137420574
pseudo_9_HLCA_132,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_133,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_134,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_135,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_136,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_137,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_138,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_139,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_140,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_141,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
pseudo_9_HLCA_142,1.0,0.9058779828227564,0.8620188050719964,1.0,1.0,0.9201155797377564,0.9044988047889168
spapros_0_HLCA_61,,0.7265597542962434,0.3815314917750712,,,0.4766622765796627,0.46116917935515395
spapros_0_HLCA_62,,0.8329128193107399,0.6349917189518706,,,0.5055415255191901,0.41447726240658495
spapros_0_HLCA_63,,0.7925570105332922,0.5300605783328463,,,0.5254601177953586,0.4747285928556783
spapros_0_HLCA_64,,0.8559787822589573,0.7271069986505563,,,0.5921188996702393,0.5179502053667743
spapros_0_HLCA_65,,0.8269762220738265,0.6197147502435898,,,0.6087976754029747,0.5309037507579788
spapros_0_HLCA_66,,0.8508030644694895,0.6441787999973035,,,0.573291211119256,0.5346664655592004
spapros_0_HLCA_67,,0.8739305872401291,0.7400107054500521,,,0.7208810679849704,0.6911203418504342
