,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_10_HLCA_136,0.8958170724586378,0.8799638031886239,0.860174790552527,0.8809446273288067,0.8302146358354903,0.8302146358354903,0.8302146358354903
spapros_11_HLCA_136,0.8974423382678596,0.8817337239384976,0.8586602074190457,0.8871695824113338,0.898770470449971,0.898770470449971,0.898770470449971
spapros_7_HLCA_136,0.9025661439405026,0.8818428295079901,0.8619173133317245,0.8848344620884672,0.944037442904544,0.944037442904544,0.944037442904544
spapros_1_HLCA_137,0.14788630198564157,0.21411311368812952,0.6099159064560219,0.15984747713776884,0.011613686591355924,0.011613686591355924,0.011613686591355924
spapros_0_HLCA_137,0.5512687862362514,0.4899395118886602,0.7413163318937623,0.4592145745619447,0.01618492479512867,0.01618492479512867,0.01618492479512867
spapros_2_HLCA_137,0.6247290579043383,0.5443823001626054,0.7851615233332399,0.6375392730747445,0.026430018148287313,0.026430018148287313,0.026430018148287313
spapros_3_HLCA_137,0.719732329830404,0.6402605363132274,0.8147195463109007,0.7198647172042394,0.05909986062126561,0.05909986062126561,0.05909986062126561
spapros_4_HLCA_137,0.7843973886462179,0.7482777249453552,0.8408555634626613,0.811094339458173,0.1612506001436375,0.1612506001436375,0.1612506001436375
spapros_5_HLCA_137,0.8314251389065586,0.8151461660499077,0.8504051563880372,0.8607514062758279,0.3216529344044939,0.3216529344044939,0.3216529344044939
spapros_6_HLCA_137,0.8814030662570158,0.8558252777205132,0.8565230573395721,0.8763320364569167,0.5502208344188542,0.5502208344188542,0.5502208344188542
spapros_10_HLCA_137,0.8900783123855982,0.8660789641360112,0.8559529421420363,0.8706984729375622,0.7074779870368226,0.7074779870368226,0.7074779870368226
spapros_11_HLCA_137,0.8987860151115105,0.8743418657727873,0.8598612536591639,0.8721522527751175,0.798405049128522,0.798405049128522,0.798405049128522
spapros_7_HLCA_137,0.8979237133710856,0.8810394793633071,0.860437045320741,0.8837347790386673,0.8816010337466372,0.8816010337466372,0.8816010337466372
spapros_1_HLCA_138,0.058861978885559565,0.14334228261193654,0.6908335545334091,0.3021759298301647,0.013057504201098922,0.013057504201098922,0.013057504201098922
spapros_0_HLCA_138,0.6159875754140811,0.5381205975242104,0.7844454792635208,0.5978404019403777,0.018387387758422063,0.018387387758422063,0.018387387758422063
spapros_2_HLCA_138,0.737418490696796,0.6399230074918839,0.8072499884512424,0.715769713084465,0.032794346329965994,0.032794346329965994,0.032794346329965994
spapros_3_HLCA_138,0.7483106492901757,0.6962751142294499,0.8216364624899745,0.7857438932134558,0.062399314150285434,0.062399314150285434,0.062399314150285434
spapros_4_HLCA_138,0.8005026342116643,0.7808805564598351,0.8398362357995262,0.8382664707479927,0.1794631922841949,0.1794631922841949,0.1794631922841949
spapros_5_HLCA_138,0.8409030004404262,0.8256581131358758,0.8504031941991637,0.8656081251656792,0.34537909793584176,0.34537909793584176,0.34537909793584176
spapros_6_HLCA_138,0.888488870359839,0.8670705415108462,0.8555109144017166,0.8860459236712505,0.5953972179334817,0.5953972179334817,0.5953972179334817
spapros_10_HLCA_138,0.8899906495698113,0.8727303165911229,0.8593174688947997,0.8929363834877977,0.7531717274796255,0.7531717274796255,0.7531717274796255
spapros_11_HLCA_138,0.8972955661147732,0.8756829598690103,0.8620363211225462,0.8847436787954989,0.8480309438603761,0.8480309438603761,0.8480309438603761
spapros_7_HLCA_138,0.8977347132304272,0.879252514065039,0.8623715187624058,0.8872559946908516,0.9332742213882408,0.9332742213882408,0.9332742213882408
spapros_1_HLCA_139,0.06542782149952643,0.17682741657207623,0.6353714338929595,0.1743044561319804,0.010346771695307962,0.010346771695307962,0.010346771695307962
spapros_0_HLCA_139,0.391396682448776,0.43953181665946345,0.7196845544891902,0.36088078315457167,0.0142052477560299,0.0142052477560299,0.0142052477560299
spapros_2_HLCA_139,0.6033775143779023,0.518035634755219,0.7635643624977194,0.523843958021011,0.02295630276200622,0.02295630276200622,0.02295630276200622
spapros_3_HLCA_139,0.67133671718217,0.6027051600835065,0.789436659635218,0.5899678954293791,0.04066943090033915,0.04066943090033915,0.04066943090033915
spapros_4_HLCA_139,0.779688156517942,0.7107622928521662,0.8373485121789154,0.84168744944768,0.11906697455868581,0.11906697455868581,0.11906697455868581
spapros_5_HLCA_139,0.8136118971348869,0.7801948279100255,0.8460155059946701,0.8546120111849077,0.2565197829171938,0.2565197829171938,0.2565197829171938
spapros_6_HLCA_139,0.8624455924571013,0.8366241094095827,0.8580564633570467,0.8731183928670514,0.48785718105404186,0.48785718105404186,0.48785718105404186
