,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_6_HLCA_137,0.8881566583274214,0.86566437160753,0.5604286505343213,0.9337129953207256,0.8735503672206185,0.5604286505343213,0.5604286505343213
spapros_10_HLCA_137,0.890337199331352,0.8695052471046272,0.7358185348229109,0.9420500710329583,0.8854556445833002,0.7358185348229109,0.7358185348229109
spapros_11_HLCA_137,0.8913377732946637,0.8709110200491832,0.8556443093399191,0.9360347079054576,0.8905418617753256,0.8556443093399191,0.8556443093399191
spapros_7_HLCA_137,0.8955035430573277,0.890854572873052,0.939005838161179,0.9366259181271084,0.8932769172430624,0.939005838161179,0.939005838161179
spapros_1_HLCA_138,0.7133530198602854,0.3565970044465959,0.0192581876440618,0.2320566829890328,0.3753206015636748,0.0192581876440618,0.0192581876440618
spapros_0_HLCA_138,0.7849804167644939,0.5643079475414545,0.017478527416925,0.4849746012293147,0.5381474160819218,0.017478527416925,0.017478527416925
spapros_2_HLCA_138,0.8152715199189874,0.6340848538300261,0.0245068804135045,0.7075023683841222,0.6350678149090194,0.0245068804135045,0.0245068804135045
spapros_3_HLCA_138,0.8429092386557357,0.7306623911843257,0.0382247879935047,0.7693350921119708,0.6981335627163536,0.0382247879935047,0.0382247879935047
spapros_4_HLCA_138,0.8647491076196673,0.8083980502483016,0.0948468501955124,0.8552621817494039,0.8102381709876619,0.0948468501955124,0.0948468501955124
spapros_5_HLCA_138,0.8746020143253018,0.8168104767654163,0.2055472489365261,0.8756394980416844,0.8541409046553691,0.2055472489365261,0.2055472489365261
spapros_6_HLCA_138,0.8818555982502678,0.8474104570751374,0.4218011454698969,0.9261005925830212,0.8803778584040339,0.4218011454698969,0.4218011454698969
spapros_10_HLCA_138,0.8849507594968163,0.8506094273737372,0.5858094226836266,0.9271548050109396,0.8887711335778097,0.5858094226836266,0.5858094226836266
spapros_11_HLCA_138,0.8864436346074868,0.8590242539581814,0.712010554006688,0.9347794106373994,0.8936531185921404,0.712010554006688,0.712010554006688
spapros_7_HLCA_138,0.8952264483354053,0.8816895960647912,0.8024005153434591,0.9383057568954324,0.8912515055044388,0.8024005153434591,0.8024005153434591
spapros_1_HLCA_139,0.7142471711803392,0.3698813047028046,0.0177155079975167,0.1844863476189362,0.4262247148562039,0.0177155079975167,0.0177155079975167
spapros_0_HLCA_139,0.7748759143941929,0.5578979333411257,0.0204072375089903,0.737808949119299,0.6260980233865079,0.0204072375089903,0.0204072375089903
spapros_2_HLCA_139,0.8091878900973202,0.6705819587979722,0.0327129918242147,0.7699553960798475,0.6720420073440228,0.0327129918242147,0.0327129918242147
spapros_3_HLCA_139,0.83441966896654,0.7158310367803441,0.0626567130916293,0.8128617225044619,0.7461615688080766,0.0626567130916293,0.0626567130916293
spapros_4_HLCA_139,0.86852399388337,0.8203641667713086,0.1598386516062742,0.8721661821477547,0.8209943395203443,0.1598386516062742,0.1598386516062742
spapros_5_HLCA_139,0.8796098697283916,0.8409883700185599,0.3041639552406532,0.90343297559917,0.8578934010073045,0.3041639552406532,0.3041639552406532
spapros_6_HLCA_139,0.8854123276037618,0.8551318012403181,0.5434714107296968,0.9318784370545224,0.8753228947882186,0.5434714107296968,0.5434714107296968
spapros_10_HLCA_139,0.8906471217729677,0.8774980875270156,0.6990351379601584,0.933598880486444,0.8900780857961645,0.6990351379601584,0.6990351379601584
spapros_11_HLCA_139,0.8923422787737387,0.8919675475020008,0.7955116369702575,0.9338062779275984,0.8865528333524468,0.7955116369702575,0.7955116369702575
spapros_7_HLCA_139,0.893202810065836,0.8921688135308443,0.9074834703594374,0.9385972247939278,0.8942991691649746,0.9074834703594374,0.9074834703594374
spapros_1_HLCA_140,0.7192884032093911,0.3774791114199001,0.0158455634803916,0.1180507274691251,0.348274753436632,0.0158455634803916,0.0158455634803916
spapros_0_HLCA_140,0.7961313334578681,0.5831421681723903,0.0200389487383635,0.7356639873238839,0.6169039228904104,0.0200389487383635,0.0200389487383635
spapros_2_HLCA_140,0.8453258204684149,0.7600149577787692,0.0358256121200951,0.7601304685599773,0.6600946649851209,0.0358256121200951,0.0358256121200951
spapros_3_HLCA_140,0.8636095770986352,0.838383798854356,0.0650396795990106,0.8093673119224604,0.732672970220165,0.0650396795990106,0.0650396795990106
spapros_4_HLCA_140,0.8790582340549067,0.8695016807786136,0.1650995151535303,0.867023611487586,0.8199098776027253,0.1650995151535303,0.1650995151535303
spapros_5_HLCA_140,0.8865725019581794,0.8633364763254897,0.3082371242073106,0.8970220426754041,0.8503750202337439,0.3082371242073106,0.3082371242073106
spapros_6_HLCA_140,0.8925002523777101,0.8859723553599079,0.5585862123461551,0.9244713463810776,0.8779365326333013,0.5585862123461551,0.5585862123461551
spapros_10_HLCA_140,0.8928941343086609,0.8861044618161242,0.7223916681545395,0.9304148490200438,0.8855305690590413,0.7223916681545395,0.7223916681545395
spapros_11_HLCA_140,0.8953301025939666,0.8911741583062915,0.8323300092520205,0.9355392598871524,0.8918284798327637,0.8323300092520205,0.8323300092520205
